sie;sig
ABDON BATISTA                 ;ABDON BATISTASC
ABELARDO LUZ                  ;ABELARDO LUZSC
AGROLANDIA                    ;AGROLÂNDIASC
AGRONOMICA                    ;AGRONÔMICASC
AGUA DOCE                     ;ÁGUA DOCESC
AGUAS DE CHAPECO              ;ÁGUAS DE CHAPECÓSC
AGUAS MORNAS                  ;ÁGUAS MORNASSC
ALFREDO WAGNER                ;ALFREDO WAGNERSC
ALTO BELA VISTA               ;ALTO BELA VISTASC
ANCHIETA                      ;ANCHIETASC
ANGELINA                      ;ANGELINASC
ANITA GARIBALDI               ;ANITA GARIBALDISC
ANITAPOLIS                    ;ANITÁPOLISSC
ANTONIO CARLOS                ;ANTÔNIO CARLOSSC
APIUNA                        ;APIÚNASC
ARABUTA                       ;ARABUTÃSC
ARAQUARI                      ;ARAQUARISC
ARARANGUA                     ;ARARANGUÁSC
ARMAZEM                       ;ARMAZÉMSC
ASCURRA                       ;ASCURRASC
ATALANTA                      ;ATALANTASC
AURORA                        ;AURORASC
ARROIO DO SILVA               ;BALNEÁRIO ARROIO DO SILVASC
BALNEARIO ARROIO DO SILVA     ;BALNEÁRIO ARROIO DO SILVASC
BALNEARIO CAMBORIU            ;BALNEÁRIO CAMBORIÚSC
BALN GAIVOTA                  ;BALNEÁRIO GAIVOTASC
PICARRAS                      ;BALNEÁRIO PIÇARRASSC
BANDEIRANTE                   ;BANDEIRANTESC
BARRA BONITA                  ;BARRA BONITASC
BARRA VELHA                   ;BARRA VELHASC
BELA VISTA DO TOLDO           ;BELA VISTA DO TOLDOSC
BENEDITO NOVO                 ;BENEDITO NOVOSC
BIGUACU                       ;BIGUAÇUSC
BLUMENAU                      ;BLUMENAUSC
BOM J DA SERRA                ;BOM JARDIM DA SERRASC
BOM RETIRO                    ;BOM RETIROSC
BOTUVERA                      ;BOTUVERÁSC
BRACO DO NORTE                ;BRAÇO DO NORTESC
BRUSQUE                       ;BRUSQUESC
CACADOR                       ;CAÇADORSC
CAMBORIU                      ;CAMBORIÚSC
CAMPO ALEGRE                  ;CAMPO ALEGRESC
CAMPO BELO DO SUL             ;CAMPO BELO DO SULSC
CAMPO ERE                     ;CAMPO ERÊSC
CAMPOS NOVOS                  ;CAMPOS NOVOSSC
CANELINHA                     ;CANELINHASC
CANOINHAS                     ;CANOINHASSC
CAPINZAL                      ;CAPINZALSC
CAPIVARI DE BAIXO             ;CAPIVARI DE BAIXOSC
CATANDUVAS                    ;CATANDUVASSC
CAXAMBU DO SUL                ;CAXAMBU DO SULSC
CELSO RAMOS                   ;CELSO RAMOSSC
CHAPECO                       ;CHAPECÓSC
CONCORDIA                     ;CONCÓRDIASC
CORONEL FREITAS               ;CORONEL FREITASSC
CORUPA                        ;CORUPÁSC
CRICIUMA                      ;CRICIÚMASC
CUNHA PORA                    ;CUNHA PORÃSC
