sie;sig
25 DE MAIO     ;BARRA BONITASC
A CEDROS       ;RIO DOS CEDROSSC
A GARIBALDI    ;ANITA GARIBALDISC
A PALMEIRA     ;RIO DOS CEDROSSC
A PEDRA PRETA  ;RIO DOS CEDROSSC
A RIO DO CAMPO ;BIGUAÇUSC
ABDON BATISTA  ;ABDON BATISTASC
ABELARDO LUZ   ;ABELARDO LUZSC
AC ADOLF.KONDER;ITÁSC
AC CORVETA     ;ARAQUARISC
AC COSTA LAGOA ;JAGUARUNASC
AC ITAPIRUBA   ;IMBITUBASC
AC JAGUARUNA   ;JAGUARUNASC
AC MIRIM 2     ;IMBITUBASC
AC MORRO GRANDE;JAGUARUNASC
AC OLHO DAGUA  ;JAGUARUNASC
AC P REDONDO   ;TAIÓSC
AC PALHOCA     ;PALHOÇASC
AC QUARTA LINHA;CRICIÚMASC
AC RIO ACIMA   ;IÇARASC
AC SUL         ;CRICIÚMASC
AC TREVO ROCADO;SÃO JOSÉSC
ACAMP TRIANGULO;CURITIBANOSSC
ACESSO IMBITUBA;IMBITUBASC
ACESSO LAGUNA  ;LAGUNASC
ACESSO SANGAO 2;JAGUARUNASC
ADOLFO KONDER  ;ITÁSC
AGROLANDIA     ;AGROLÂNDIASC
AGRONOMICA     ;AGRONÔMICASC
AGRONOMICA(M.R);AGRONÔMICASC
AGUA BRANCA 1  ;SÃO MIGUEL DA BOA VISTASC
AGUA DOCE      ;ÁGUA DOCESC
AGUA FRIA      ;INDAIALSC
AGUA PARADA    ;DIONÍSIO CERQUEIRASC
AGUA SANTA     ;BOM JESUSSC
AGUAS BRANCAS  ;URUBICISC
AGUAS CHAPECO  ;ÁGUAS DE CHAPECÓSC
AGUAS DO PRATA ;SÃO CARLOSSC
AGUAS FRIAS    ;ÁGUAS FRIASSC
AGUAS MORNAS   ;ÁGUAS MORNASSC
AGUAS MORNAS 2 ;URUSSANGASC
AGUAS NEGRAS 1 ;BOTUVERÁSC
AGUAS NEGRAS 2 ;ITUPORANGASC
AGUDO          ;CAMPOS NOVOSSC
AIMORE         ;GUABIRUBASC
AIURE          ;GRÃO PARÁSC
ALBERTINA      ;RIO DO SULSC
ALEGRE DO MARCO;ABELARDO LUZSC
ALFREDO WAGNER ;ALFREDO WAGNERSC
ALTO ARIRIU    ;PALHOÇASC
ALTO BENEDITO  ;BENEDITO NOVOSC
ALTO DA SERRA  ;JARAGUÁ DO SULSC
ALTO DA SERRA 1;PRESIDENTE NEREUSC
ALTO DA SERRA 5;URUBICISC
ALTO DA SERRA 6;BOM JARDIM DA SERRASC
ALTO DA SERRA 7;CHAPECÓSC
ALTO DA SERRA 9;LAGESSC
ALTO FORCACAO  ;BENEDITO NOVOSC
ALTO GUARAMIRIM;SÃO MIGUEL DO OESTESC
ALTO IRANI     ;IRANISC
ALTO KRAUEL    ;WITMARSUMSC
ALTO MARTINS   ;GALVÃOSC
ALTO MINAS     ;ILHOTASC
ALTO MOSQUITO  ;AGRONÔMICASC
ALTO POMERANOS ;RIO DOS CEDROSSC
ALTO R DENEKE  ;VITOR MEIRELESSC
ALTO RIO BUGRE ;IMBUIASC
ALTO RIO MAINA ;SIDERÓPOLISSC
ALTO RIO PEDRAS;LEOBERTO LEALSC
ALTO SANTANA   ;IPIRASC
ALTO SARGENTO  ;SÃO MIGUEL DA BOA VISTASC
ALTO SUBIDA    ;LONTRASSC
ALTO T BARRAS  ;ITUPORANGASC
ALTO TIGRE     ;MONDAÍSC
AMOLA FACA 1   ;LAGESSC
ANCHIETA       ;ANCHIETASC
ANGELINA       ;ANGELINASC
ANGICO         ;RIO DO OESTESC
ANITA GARIB.   ;BALNEÁRIO GAIVOTASC
ANITA GARIBALDI;ANITA GARIBALDISC
ANITAPOLIS     ;ANITÁPOLISSC
ANTA GORDA 1   ;INDAIALSC
ANTA GORDA 2   ;VIDEIRASC
ANTONIO BRANCO ;TIMBÉ DO SULSC
ANTONIO CARLOS ;ANTÔNIO CARLOSSC
APIUNA         ;APIÚNASC
ARABUTA        ;ARABUTÃSC
